Date,Close,High,Low,Open,Volume
1962-01-02,0.6205119490623474,0.6329637278035567,0.6163614618699391,0.6225873512405438,432682
1962-01-03,0.6142856478691101,0.6173986895811464,0.6122104056641671,0.6173986895811464,296467
1962-01-04,0.6070230007171631,0.6194747486820266,0.6018348682084919,0.6142864972367764,368581
1962-01-05,0.5914578437805176,0.6080602665948682,0.5810815079262713,0.6070225061438628,546862
1962-01-08,0.5904200673103333,0.5914576688725194,0.5727800478435234,0.5914576688725194,620978
1962-01-09,0.5935328602790833,0.5987211451594049,0.5862693724539739,0.5904200162164227,466735
1962-01-10,0.5966461896896362,0.599759035250273,0.591457902312586,0.5935331459015099,392619
1962-01-11,0.5976832509040833,0.5976832509040833,0.5862691241507628,0.5966456498711457,326514
1962-01-12,0.5893826484680176,0.5987214228604146,0.5873074445607015,0.5976837812612594,338533
1962-01-15,0.5956085920333862,0.5976838357754806,0.5904203439188972,0.5904203439188972,424669
1962-01-16,0.600796639919281,0.602872041962562,0.5914578659387054,0.5956085114432855,278439
1962-01-17,0.587307333946228,0.5997589118544475,0.5831566890403522,0.5997589118544475,428675
1962-01-18,0.5935328602790833,0.5935328602790833,0.5862693724539739,0.587307172153762,296467
1962-01-19,0.5987209677696228,0.5987209677696228,0.5935326844264922,0.5935326844264922,266420
1962-01-22,0.600796639919281,0.608060289375044,0.5997589983658836,0.5997589983658836,284448
1962-01-23,0.5893826484680176,0.5987214228604146,0.5873074445607015,0.5987214228604146,456720
1962-01-24,0.600796639919281,0.602872041962562,0.5873074186616027,0.5893826224774064,320505
1962-01-25,0.5945708751678467,0.6049472504565462,0.5904202299031832,0.6007966051918827,318502
1962-01-26,0.5924949049949646,0.5956079057805944,0.5904196636439402,0.5945703049278098,202319
1962-01-29,0.5935328602790833,0.5956082614512653,0.5914576176888166,0.5924952588066894,204322
1962-01-30,0.6039097905158997,0.6101356809935914,0.600796785808796,0.600796785808796,356562
1962-01-31,0.6225869059562683,0.6225869059562683,0.6028716499697728,0.6039092512030166,376593
1962-02-01,0.6184362769126892,0.6256997632253197,0.6122103918563925,0.6225869198108478,514811
